10728437,10728405,10728404,2.687860976,,,,,,,,,,,,,,,,,,,,,,
10728437,10728518,10728507,10728387,2.460581281,,,,,,,,,,,,,,,,,,,,,
10728506,10728399,10728390,10728387,10728519,1.965237456,,,,,,,,,,,,,,,,,,,,
10728399,10728405,10728439,10728408,10728387,10728385,1.661534325,,,,,,,,,,,,,,,,,,,
10728534,10728399,10728442,10728425,10728513,10728387,10728519,1.489562031,,,,,,,,,,,,,,,,,,
10728515,10728435,10728383,10728399,10728527,10728507,10728387,10728385,1.082737879,,,,,,,,,,,,,,,,,
10728383,10728534,10728391,10728525,10728399,10728522,10728507,10728387,10728385,1.080900067,,,,,,,,,,,,,,,,
10728412,10728402,10728383,10728534,10728401,10728391,10728518,10728507,10728387,10728385,1.096012153,,,,,,,,,,,,,,,
10728506,10728383,10728534,10728432,10728399,10728442,10728439,10728396,10728507,10728387,10728385,1.026209314,,,,,,,,,,,,,,
10728402,10728400,10728534,10728401,10728437,10728525,10728399,10728527,10728522,10728507,10728387,10728385,1.028541012,,,,,,,,,,,,,
10728402,10728400,10728517,10728534,10728401,10728399,10728442,10728527,10728390,10728405,10728419,10728404,10728507,10728387,10728385,0.746551397,,,,,,,,,,
10728412,10728515,10728382,10728383,10728534,10728401,10728391,10728399,10728442,10728390,10728405,10728419,10728425,10728439,10728408,10728522,10728422,10728507,10728387,10728385,0.577337714,,,,,
10728402,10728400,10728435,10728383,10728534,10728432,10728401,10728391,10728399,10728518,10728442,10728527,10728390,10728405,10728419,10728439,10728404,10728408,10728522,10728396,10728422,10728507,10728513,10728387,10728385,0.455957361
